date,text
2020-10-14 17:12:35,"RT @HerschelWalker: GEORGIA, Let's go VOTE to keep our Freedoms for the best country in the world! 🇺🇸🇺🇸🇺🇸@potus  #MAGA2020 #Trump2020 #KAG2…"
2020-10-14 14:55:48,"RT @realDonaldTrump: Republicans will be providing far better Healthcare than the Democrats, at a far lower cost...And will always protect…"
2020-10-14 14:29:31,"Georgia, this is your chance to MAKE AMERICA GREAT AGAIN. We have been strong for our Military, Vets, 2nd Amendment, and ALL. VOTE NOW!"
2020-10-14 14:14:04,Fight hard Republicans. They have been taking advantage of the system for years! https://t.co/vaToeGjrHG
2020-10-14 12:52:34,https://t.co/gsFSghkmdM
2020-10-14 05:31:59,"RT @GaryCoby: YES! Watch... @GamebredFighter 

#MAGA #SuperBowl 

https://t.co/2bgAdkMFJv"
2020-10-14 04:08:24,Great night in Pennsylvania. Big and Enthusiastic Crowd. Will be back soon. VOTE!!!
2020-10-14 03:47:57,Vote for Trump. Save your 2nd Amendment! https://t.co/QYt5K7oYws
2020-10-14 03:45:48,RT @WAVY_News: A lawsuit seeking to extend Virginia’s voter registration deadline was filed Tuesday night after the state’s Department of E…
2020-10-14 03:43:25,"Virginia, VOTE for President Trump and save your under siege 2nd Amendment. https://t.co/V0AGM7gLaL"
2020-10-14 03:38:27,https://t.co/75J7mUX0Iy
2020-10-14 03:32:13,"RT @McguireScotty: This is Lee Keltner. He is the victim of the Denver shooting. He made cowboy hats.

Denver has a DemocRat mayor

 Pray f…"
2020-10-14 03:31:21,"RT @TaylerUSA: Yesterday in Denver a Conservative was executed by Matt Dolloff 

@DenverPolice claim he has no connections to ANTIFA, but t…"
2020-10-14 03:31:12,RT @stillgray: Extended sequence of events in Denver. The victim backed off. He never stood a chance. https://t.co/4HSSYQ1wrx
2020-10-14 03:27:00,"RT @BreitbartNews: Facebook has reportedly disabled the account of former U.S. Marine Corps Sergeant John “Tig” Tiegen, one of the men who…"
2020-10-14 03:26:56,RT @MrAndyNgo: Tonight the “indigenous” faction of antifa held a “day of rage” riot in Portland. They banned video recording as the crimina…
2020-10-14 03:24:49,RT @VFL2013: Well... 🇺🇸👀🇺🇸👀🇺🇸👀
2020-10-14 03:08:26,I will never let you down! #MAGA https://t.co/22qkatrJb2
2020-10-14 02:37:50,"RT @Seitzer1: UFC’s @GamebredFighter gives one of the best “vote for Trump” speeches I’ve heard!
https://t.co/YstONQTYeF"
2020-10-14 01:50:27,https://t.co/wJN4zv0y8O
2020-10-14 01:25:27,"For years you had a President who apologized for America – now you have a President who is standing up for America, and standing up for Pennsylvania. So get your friends, get your family, get your neighbors, and GET OUT AND VOTE! https://t.co/gsFSgh2KPc https://t.co/xfZtBixRkk"
2020-10-14 01:23:51,"Proud citizens like you helped build this Country—and together, we are taking back our Country. We are returning power to YOU, the American People! #MAGA https://t.co/rn69eJJAPV"
2020-10-14 01:19:03,"This election is a simple choice: If Biden Wins, China Wins. When WE Win, YOU WIN, Pennsylvania WINS, and America WINS! https://t.co/dgx92ZxsBO"
2020-10-14 01:18:56,"One of the most important issues for Pennsylvania is the survival of your fracking industry. Joe Biden has repeatedly pledged to abolish fracking. When asked about fracking, Biden said he would “make sure it’s ELIMINATED!” With me, you’re going to FRACK! https://t.co/tHt7Chh4jB"
2020-10-14 01:06:41,"Thank you Johnstown, Pennsylvania! https://t.co/mdHfNODJCT"
2020-10-14 01:00:00,You mean only Democrats are allowed to do this? But haven’t the Dems been doing this for years? See you in court. Fight hard Republicans! https://t.co/vaToeGB2ze
2020-10-13 23:24:32,"Watch @OANN, @newsmax, @cspan. Just arrived in Pennsylvania. Enjoy!"
