text,user,location,Subject,state
" After the confrontation that cost Walter Wallace Jr. his life set off protests that devolved into rioting, looting and led to‚?¶",wheresestela1,New Jersey,Donald Trump,New Jersey
" ""COVID-19 is still raging. Trump is still lying."" ",TheFemaleYungin,"The Wrong Address, Texas ",Donald Trump,Texas
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",KathrynTomashu1,"Northborough, MA",Donald Trump,Massachusetts
Let‚??s not forget who created these problems. Tell Donald Trump his scheme to undermine your right to vote safely in‚?¶ ,ajserino,"New Jersey, USA",Donald Trump,New Jersey
 There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect‚?¶,SpeakBravely,"Twin Cities, Minnesota",Donald Trump,Minnesota
'A vote for Donald Trump is a vote against the very ideals upon which our democracy was founded': Popovich endorses‚?¶ ,TMScarletFire,"Salem, MA",Donald Trump,Massachusetts
 There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect‚?¶,mwamsley5,Ohio,Donald Trump,Ohio
" The same people who are outraged at AOC for slipping into a borrowed $14,000 outfit for a Vanity Fair photo shoot are‚?¶",SpeakBravely,"Twin Cities, Minnesota",Donald Trump,Minnesota
 Donald Trump is on track to become the worst jobs president in modern American history. ,XchargerFan619,"San Diego, CA",Donald Trump,California
"It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached f‚?¶ ",eachlifeinplace,Iowa ,Donald Trump,Iowa
 Donald Trump is a dipshit. The presidency is no place for a dipshit.,oldsmartian,"Clearwater, FL",Donald Trump,Florida
" ""COVID-19 is still raging. Trump is still lying."" ",ChristopherOrp1,"Queens, NY",Donald Trump,New York
" Trump is going to try to make his re-election his final giant con, losing the election but keeping the presidency. Massive l‚?¶",bnordsr,"Geneva, IL, New Berlin, WI",Donald Trump,Wisconsin
Download the official Donald Trump for President mobile app to get involved and share it with your friends! Togethe‚?¶ ,BlancheBullshit,"Los Angeles, CA",Donald Trump,California
" Abandoned by Donald Trump, lemming-like cultists wander to their doom upon the frozen wastelands of Omaha. ‚?¶",JoshPainter2154,"Brazos Valley, Texas",Donald Trump,Texas
 Donald Trump is a dipshit. The presidency is no place for a dipshit.,Fot_roca,"Baltimore, MD",Donald Trump,Maryland
 ‚??Trump rally sounds like Hitler in Berlin! Fuck Donald Trump‚??‚???èª,FentonHolland,"Jacksonville,Florida",Donald Trump,Florida
" Donald Trump taking credit for President Obama‚??s economy is like a guy inheriting a fortune from his dad, then bragging a‚?¶",jemaan44041,"Shawnee, KS",Donald Trump,Kansas
 ‚??It is currently unclear whether Facebook is giving Donald Trump an unfair advantage..but it is abundantly clear Facebo‚?¶,7SinsOfTrump,"New York, USA",Donald Trump,New York
" It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist‚?¶",treesatreesa,"Washington, USA",Donald Trump,Washington
" Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac‚?¶",GuaglioneTina,"Simi Valley, CA",Donald Trump,California
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",oothoon,"Michigan, USA",Donald Trump,Michigan
" No one deserves a more thorough drubbing on Election Day than Donald Trump.Well, maybe Lindsey Graham does,&amp; Mitch McC‚?¶",Francesnamorada,"Sandy Springs, GA",Donald Trump,Georgia
" BREAKING:  Donald Trump just called the process of counting all the votes, ""stealing an election.""How can anyone suppo‚?¶",Raphium,New Jersey,Donald Trump,New Jersey
" Donald Trump will go down as the most beloved President ever.God bless you, best President Trump! We all love and supp‚?¶",CommonSenseMich,"Michigan, USA",Donald Trump,Michigan
 David Letterman calling Donald Trump a straight-up racist. In 2012... ,josiemae51,"Danbury, CT",Donald Trump,Connecticut
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",cynjblair,"Irondequoit, NY",Donald Trump,New York
 ‚??It is currently unclear whether Facebook is giving Donald Trump an unfair advantage..but it is abundantly clear Facebo‚?¶,Dealfatigue,"Los Angeles, California",Donald Trump,California
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",TarotPriestess1,"Maine, USA",Donald Trump,Maine
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",thomasmuff,"Pine Hill, NJ",Donald Trump,New Jersey
 It‚??s 2:30 in the morning and Donald Trump is completely melting down right now ,oldsmartian,"Clearwater, FL",Donald Trump,Florida
" PROTESTS PLANNED TO OPPOSE A STOLEN ELECTIONActivist groups plan to hit the streets next week, if President Donald Tru‚?¶",hezhitters,"Michigan, USA",Donald Trump,Michigan
 Remember... it‚??s not just Donald Trump being voted out.... it‚??s his entire family and garbage administration that‚??ll be ki‚?¶,Karlita59,"California, USA",Donald Trump,California
 ‚??It is currently unclear whether Facebook is giving Donald Trump an unfair advantage..but it is abundantly clear Facebo‚?¶,walkrunfly1,"Texas, USA",Donald Trump,Texas
 There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect‚?¶,NastasiaTaz,"New Zealand and Boston, MA",Donald Trump,Massachusetts
" Donald Trump, who has financial interests in Turkey, won‚??t stand up to Erdogan. Ever.He even interfered in a DOJ inves‚?¶",DavidPercelay,"Malibu, CA",Donald Trump,California
    Americans understand the dire prospects of #ClimateChange. They will not accept‚?¶,saramelson,"Los Angeles, CA",Donald Trump,California
" ""COVID-19 is still raging. Trump is still lying."" ",BGMfoil,"Cleveland, Ohio, United States",Donald Trump,Ohio
 Pollak: 11 Shining Successes of President Donald Trump‚??s First Term  via ,Jeffrey52095461,"Pennsylvania, USA",Donald Trump,Pennsylvania
 The president's son delivered a whopper during a Fox News interview. ,Mohamme03832262,"Hamburg, NY",Donald Trump,New York
 Pollak: 11 Shining Successes of President Donald Trump‚??s First Term  via ,RudyPHS16,"Saco, Maine",Donald Trump,Maine
 There‚??s a reason Donald Trump Jr. never pushes back on his cocaine usage,realdonaIdump,"Washington, DC",Donald Trump,Washington
 There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect‚?¶,frogetteca,"Nathan S., California",Donald Trump,California
" MAJOR BREAKING NEWS (UPDATE): As Donald Trump Falsely Declares That America ""Has Turned the Corner"" on COVID-19, Back in‚?¶",supapally,"Maine, USA",Donald Trump,Maine
 So-called ‚??Liberal‚?ù media has spent the last 3.5 years insisting to the Black Community that Donald J. Trump is a ‚??racist‚?¶,tpsummers,"Kennesaw, GA",Donald Trump,Georgia
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",LinneyAnnette,"Texas, USA",Donald Trump,Texas
  I don‚??t want someone in the WH who wants to suppress the votes of our military. That‚??s why I‚??m votin‚?¶,jamieob256,"New York, NY",Donald Trump,New York
 It‚??s very on brand with today‚??s Republican Party to choose a MAGA rally with Donald Trump over a much larger television audien‚?¶,Dalton642,"Charlotte, NC",Donald Trump,North Carolina
 There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect‚?¶,iamnottense,"Texas, USA",Donald Trump,Texas
 There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect‚?¶,Sissymoon1956Ce,"Washington, USA",Donald Trump,Washington
" As President Trump makes a hurried final push for reelection, he is relying not only on his campaign staff but on government offic‚?¶",kat_pep_,GA,Donald Trump,Georgia
" ""17"" posts today about the ""Great Reset"", which is a plan to enslave all humanity though health dictatorships.Like we see‚?¶",maggieveeus,California,Donald Trump,California
 There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect‚?¶,eliseambrose,"Washington, DC",Donald Trump,Washington
 Remember... it‚??s not just Donald Trump being voted out.... it‚??s his entire family and garbage administration that‚??ll be ki‚?¶,DawnLenhardt,"Michigan, USA",Donald Trump,Michigan
" It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist‚?¶",caraleeacs,"Texas, USA",Donald Trump,Texas
 Donald Trump is not running against Joe Biden he's running against democracy the election and the American voter,jhentaichrist,"Tucson, AZ",Donald Trump,Arizona
" ""Trump's insistence that we are 'rounding the corner' on the virus is nonsensical. As is his assertion that even if you do get Cov‚?¶",JBellSATX,"San Antonio, TX",Donald Trump,Texas
 There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect‚?¶,apexnerd,"Henderson, NV",Donald Trump,Nevada
 ‚??My choice in the 2020 general election is between a personally offensive outsider who signs good policies into law and a‚?¶,igbell2,New York ,Donald Trump,New York
 Show this clip to all of the people you know who support Donald Trump and claim he isn‚??t a racist.Decades of documentatio‚?¶,sublimeviolets,"Miami, FL",Donald Trump,Florida
"  Thanks to Donald Trump turning the corner, he could not see the 86,401 new cases of CO‚?¶ ",RoyRoyrd,"Carrollton, GA",Donald Trump,Georgia
 The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached‚?¶,DePernaProperty,"Key Largo, FL",Donald Trump,Florida
" ‚??This is why we, two Orthodox American-Israelis and former IDF soldiers who care deeply about Israel‚??s safety, will be vot‚?¶",blue_rose_nc,"North Carolina, USA",Donald Trump,North Carolina
Coronavirus response shows Donald Trump's failure of leadership  via ,tbdnonymous,"New Albany, IN",Donald Trump,Indiana
 The Independent:  airs 80-second supercut of 's racist remarks over the past 30 years.‚?¶,halfwayhippie,"Ohio, USA",Donald Trump,Ohio
 Donald Trump has not seen it as his duty to represent the majority of Americans who did not vote for him. Joe Biden would‚?¶,CrzyTmsJimB,"California, USA",Donald Trump,California
" Study Finds TheSingle Largest Driverof #Coronavirus Misinformation, #Lies, &amp; #HOAX #Denying ?The  REPUBLICANS Don‚?¶",IfkaTatar,"Arkansas, USA",Donald Trump,Arkansas
" Republicans came down harder on Alexandria Ocasio-Cortez for wearing $14,000 worth of clothing in Vanity Fair than they d‚?¶",BazileMusic,"Bay Area, CA",Donald Trump,California
 White liberals demonizing Trump a racist also forgot...Whitney Houston was close to Donald Trump. Trump presented Whitney‚?¶,DaveSayz,Florida,Donald Trump,Florida
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",katona_barbara,"Denver, CO",Donald Trump,Colorado
"   Here‚??s another source similar to yours, but they also include how this sud‚?¶ ",FutureGirl2073,Texas,Donald Trump,Texas
 David Letterman calling Donald Trump a straight-up racist. In 2012... ,wbtegra,"Charleston, SC",Donald Trump,South Carolina
 At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine‚?¶,MicheleDianeDR,WA,Donald Trump,Washington
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",canoetipper_k,"Ontario, CA",Donald Trump,California
" I believe in science.Donald Trump doesn't.It's that simple, folks.",ed_mac33,"Menomonee Falls, WI",Donald Trump,Wisconsin
 Remember if Democrats vote in massive numbers . Donald Trump cannot contest the election.,Pagecamper1,"Living in my Head, NC ",Donald Trump,North Carolina
"  I don‚??t want Hunter Biden‚??s laptop. I want Donald Trump‚??s taxes, his medical records, Ivanka‚??s and Jared‚?¶",SusanVajda,"Kensington, MD",Donald Trump,Maryland
"  Perhaps the biggest shock of all does not come from Trump, but from his tens of millions supporters and th‚?¶",HoshinoLady,"Wisconsin, USA CDT",Donald Trump,Wisconsin
" Donald Trump and Republicans had a choice: Take charge of this virus and pass a relief bill, or push through a Supreme Co‚?¶",Shelsyy_S,"Visalia, California",Donald Trump,California
" The same people who are outraged at AOC for slipping into a borrowed $14,000 outfit for a Vanity Fair photo shoot are‚?¶",Meidas_Steve,NJ,Donald Trump,New Jersey
 There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect‚?¶,OpenMindPsychRN,"Nebraska,  USA",Donald Trump,Nebraska
 Pollak: 11 Shining Successes of President Donald Trump‚??s First Term  via ,lordjakobi,"Washington, USA",Donald Trump,Washington
